index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
1020,\src\com\eteks\sweethome3d\swing\HomeComponent3D.NavigationButton.java,NavigationButton,121,1,0,0,0,FALSE,FALSE,2,FALSE,FALSE,1,0,18,12,TRUE,FALSE,TRUE,TRUE,FALSE,private,0,0,0,FALSE,Interfacer
1021,\src\com\eteks\sweethome3d\swing\HomeComponent3D.NavigationPanelChangeListener.java,NavigationPanelChangeListener,44,1,1,0,0,FALSE,FALSE,4,TRUE,FALSE,1,1,4,3,TRUE,FALSE,TRUE,TRUE,FALSE,private,1,0,0,FALSE,Service Provider
1022,\src\com\eteks\sweethome3d\swing\HomeFurniturePanel.java,HomeFurniturePanel,1303,43,8,1,0,FALSE,FALSE,3,FALSE,FALSE,111,10,32,204,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,7,0,FALSE,Interfacer
1023,\src\com\eteks\sweethome3d\swing\HomePDFPrinter.java,HomePDFPrinter,113,4,1,0,0,FALSE,FALSE,5,TRUE,FALSE,3,1,17,16,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,0,0,FALSE,Service Provider
1024,\src\com\eteks\sweethome3d\swing\HomePrintableComponent.java,HomePrintableComponent,452,15,8,1,5,FALSE,FALSE,3,FALSE,FALSE,37,8,33,87,TRUE,FALSE,FALSE,TRUE,FALSE,public,6,1,1,FALSE,Interfacer
1025,\src\com\eteks\sweethome3d\swing\HomePrintableComponent.Variable.java,Variable,70,10,3,0,3,FALSE,FALSE,1,FALSE,FALSE,0,1,1,2,TRUE,FALSE,TRUE,FALSE,TRUE,public,3,0,0,FALSE,Information Holder
1026,\src\com\eteks\sweethome3d\swing\HomeTransferableList.java,HomeTransferableList,76,2,3,0,2,FALSE,FALSE,3,FALSE,FALSE,1,2,6,1,TRUE,FALSE,FALSE,TRUE,FALSE,public,3,0,0,FALSE,Structurer
1027,\src\com\eteks\sweethome3d\swing\IconManager.IconProxy.java,IconProxy,59,1,4,0,3,FALSE,FALSE,2,FALSE,FALSE,1,4,5,5,TRUE,FALSE,TRUE,TRUE,FALSE,private,4,0,0,FALSE,Service Provider
1028,\src\com\eteks\sweethome3d\swing\IconManager.java,IconManager,212,5,11,0,7,FALSE,FALSE,2,TRUE,FALSE,7,12,16,12,TRUE,FALSE,FALSE,TRUE,FALSE,public,10,1,0,FALSE,Service Provider
1029,\src\com\eteks\sweethome3d\swing\ImportedFurnitureWizardStepsPanel.AbstractModelPreviewComponent.java,AbstractModelPreviewComponent,84,0,3,0,0,FALSE,FALSE,4,FALSE,FALSE,0,3,3,5,TRUE,FALSE,TRUE,TRUE,FALSE,private,0,0,3,TRUE,Coordinator
1030,\src\com\eteks\sweethome3d\swing\ImportedFurnitureWizardStepsPanel.AttributesPreviewComponent.java,AttributesPreviewComponent,32,0,0,0,0,FALSE,FALSE,3,FALSE,FALSE,0,0,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,0,0,0,FALSE,Coordinator
